"Término","Contexto"
"trabajo nocturno"," condiciones y organización del trabajo | jornada de trabajo"
"seguridad de los alimentos"," sanidad | salubridad de los alimentos; inocuidad de los alimentos; inocuidad de los productos alimenticios; salubridad de los productos alimenticios; seguridad cualitativa de la alimentación | nutrición"
"sistema de alerta de la UE"," vida política y seguridad pública | sistema de alerta rápida de la UE | seguridad pública"
"maternidad"," familia | embarazo; mujer gestante; parto | familia"
"persona jurídica"," Derecho civil | estatuto jurídico"
"concentración económica"," organización de la empresa | concentración de sociedades; concentración | escisión de empresas; oferta pública de adquisición; participación; grupo de empresas; conglomerado de empresas; fusión de empresas"
"migración"," movimientos migratorios | tasa de migración | movilidad geográfica; migración forzosa; inmigración; migración profesional; migrante; migración de retorno; migración familiar; diáspora; migración circular; migración comunitaria; emigración; política migratoria; migración de repoblación; reagrupación familiar; migración femenina; corriente migratoria; migración económica; migración fronteriza"
"renta complementaria"," administración y remuneración del personal | renta accesoria | remuneración del trabajo"
"remuneración del trabajo"," administración y remuneración del personal | renta del trabajo; retribución del trabajo | renta complementaria; renta no salarial; salario; dietas y gastos; prima salarial; remuneración en especie"
"domicilio legal"," Derecho civil | estatuto jurídico"
"cónyuge colaborador"," mercado laboral | categoría profesional"
"prestación social"," protección social | pensión | seguridad social | seguro de desempleo; plan de pensiones; prestación por maternidad; prestación familiar; asignación por permiso parental; asignación por cuidados; seguro de enfermedad; prestación a los supervivientes; indemnización por fallecimiento; seguro de accidentes de trabajo; seguro de invalidez; prestación no contributiva; prestación complementaria"
"marco común de referencia"," Derecho civil | MCR | contrato"
"profesión jurídica"," organización de la justicia | jurista; procurador | policía judicial; juez; juez no profesional; personal de la administración de justicia; ministerio fiscal; magistrado; abogado"
"contrato"," Derecho civil | Derecho contractual; firma de contrato; compromiso; conclusión de contrato | Derecho civil | marco común de referencia; rescisión contractual; contrato digital; cláusula contractual; mandato; hipoteca; garantía"
"oferta y demanda"," intercambios económicos | oferta; demanda"
"personal"," administración y remuneración del personal | recursos humanos | administración del personal"
"mesa electoral"," procedimiento electoral y sistema de votación | local electoral; oficina electoral | votación"
"artesano"," mercado laboral | categoría profesional"
"telecomunicación"," comunicación | tecnología de las telecomunicaciones | sistema de comunicación | telefax; material de telecomunicaciones; correo electrónico; transmisión de datos; conferencia por vídeo; teléfono; teletex; videocomunicación; télex; videotex; reglamentación de las telecomunicaciones; tarifa de comunicaciones; telégrafo; política de telecomunicación; comunicación por satélite"
"jornada intensiva"," condiciones y organización del trabajo | jornada de trabajo"
"admisibilidad"," justicia | procedencia; excepción de admisibilidad; improcedencia; inadmisibilidad | procedimiento judicial | interés legítimo; prescripción del delito"
"persona jubilada"," empleo | pensionista | cese de empleo"
"pluriempleo"," empleo | actividad complementaria | estructura del empleo"
"Asociación Internacional de la Seguridad Social"," organizaciones no gubernamentales | AISS | organización no gubernamental"
"transferencia"," economía monetaria | giro; giro telegráfico | dinero bancario"
"libre circulación de personas"," Derecho internacional | Derecho internacional público | Acuerdo de Schengen"
"riesgo cubierto"," seguros | riesgo | póliza de seguro"
"lugar de trabajo"," condiciones y organización del trabajo | centro de trabajo | condición de trabajo"
"jornada de trabajo"," condiciones y organización del trabajo | jornada laboral | organización del trabajo | horario de trabajo; horario flexible; trabajo dominical; jornada legal; tiempo de descanso; reducción del tiempo de trabajo; trabajo nocturno; trabajo por turnos; jornada intensiva; hora extraordinaria"
"renovación urbana"," urbanismo y construcción | reordenamiento urbano; revitalización urbana; rehabilitación de edificios; restauración de edificios | urbanismo"
"acción por responsabilidad civil"," justicia | acción penal"
"Derecho mercantil"," política comercial | Derecho comercial; legislación comercial | arbitraje comercial; contrato comercial; Derecho cambiario"
"administración regional"," poder ejecutivo y administración pública | administración de la Comunidad Autónoma; administración autonómica; organismo autonómico; organismo regional | administración pública"
"distribución geográfica"," análisis económico | estadística"
"publicidad de los precios"," precios | marcación de precios | política de precios"
"acumulación de pensiones"," protección social | plan de pensiones"
"horario flexible"," condiciones y organización del trabajo | horario móvil; horario variable | jornada de trabajo"
"votación"," procedimiento electoral y sistema de votación | voto | intención de voto; resultado del voto; mesa electoral; votación pública; voto por correspondencia; participación electoral; abstencionismo; verificación del escrutinio; votación por poderes; votación anticipada; papeleta de votación; voto secreto; escrutinio"
"contrato de trabajo"," administración y remuneración del personal | administración del personal"
"industria sanitaria"," sanidad | política sanitaria"
"funcionario"," poder ejecutivo y administración pública | alto funcionario | función pública"
"organización del trabajo"," condiciones y organización del trabajo | trabajo en pantalla; jornada de trabajo; trabajo en equipo; ordenación del horario de trabajo; trabajo en cadena; estudio del trabajo"
"víctima"," Derecho penal | responsabilidad criminal | ayuda a las víctimas"
"movimiento de consumidores"," consumo | asociación de consumidores; organización de consumidores | protección del consumidor"
"trabajo a distancia"," empleo | teletrabajo | trabajo atípico"
"administración central"," poder ejecutivo y administración pública | administración general del Estado; administración del Estado; administración federal | administración pública | ministerio"
"principio de quien contamina paga"," política del medio ambiente | contaminador-pagador | lucha contra la contaminación"
"incapacidad laboral"," condiciones y organización del trabajo | seguridad en el trabajo"
"renta no salarial"," administración y remuneración del personal | honorarios; participación en beneficios; porcentaje | remuneración del trabajo"
"reciclaje profesional"," empleo | especialización profesional; reciclaje de conocimientos | formación profesional"
"trabajador con discapacidad"," mercado laboral | trabajador discapacitado; trabajador con movilidad reducida; trabajador minusválido | mano de obra"
"responsabilidad del fabricante"," Derecho civil | responsabilidad del producto; responsabilidad en razón del producto; responsabilidad por vicios ocultos | responsabilidad"
"productividad del trabajo"," condiciones y organización del trabajo | productividad laboral; rendimiento tipo | estudio del trabajo"
"ley"," fuentes y ramas del Derecho | legislación | ley de armonización; aplicación de la ley; ley de bases; ley orgánica; retroactividad de la ley"
"tipo de cambio"," economía monetaria | cotización; tipo de cambio doble | política de cambios | paridad de cambio; tipo de cambio flotante"
"parentesco"," familia | madre; padres; padre | familia | hijo abandonado; huérfano; hijo adoptivo; hijo natural; hijo único"
"publicidad"," comercialización | propaganda publicitaria; publicidad comercial; campaña publicitaria; información publicitaria | comercialización | impacto publicitario; publicidad electrónica no solicitada; presupuesto publicitario"
"pensión complementaria"," protección social | plan de pensiones"
"indemnización del seguro"," seguros | póliza de seguro"
"Derecho de la seguridad social"," protección social | seguridad social"
"baja por maternidad"," protección social | permiso social"
"empresario"," organización de la empresa | industrial | estructura de la empresa"
"remuneración en especie"," administración y remuneración del personal | beneficio no pecuniario | remuneración del trabajo"
"información al consumidor"," consumo | declaración de propiedades saludables; educación del consumidor; declaración nutricional | protección del consumidor | Red de Centros Europeos de los Consumidores"
"salud pública"," sanidad | sanidad pública | organización sanitaria | saneamiento público; salud reproductiva; legislación sanitaria; inspección sanitaria; riesgo sanitario; higiene pública; desarrollo infantil"
"jurisdicción social"," organización de la justicia | jurisdicción judicial"
"capacidad jurídica"," Derecho civil | incapacidad jurídica | estatuto jurídico | mayoría de edad civil; minoría de edad civil; capacidad de obrar; capacidad de contratar; capacidad de disfrute"
"Derecho de la vivienda"," urbanismo y construcción | vivienda | reglamentación de alquileres; alquiler moderado"
"Autoridad Europea de Seguros y Pensiones de Jubilación"," instituciones de la Unión Europea y función pública europea | EIOPA; AESPJ | organismo de la UE"
"religión"," cultura y religión | integrismo religioso; judaísmo; mitología; islamismo; nueva religión; ateísmo; cristianismo; teología; iglesia; religión primitiva; símbolo religioso; budismo; secta religiosa; texto sagrado; diálogo interreligioso; hinduismo; institución religiosa; clero"
