Termino_1,Término_2
trabajo nocturno,trabajo nocturno
maternidad,maternidad
remuneración,remuneración del trabajo
contrato,contrato
demanda,personal
personal,mesa electoral
mesa electoral,riesgo cubierto
riesgo,lugar de trabajo
centro de trabajo,jornada de trabajo
jornada,horario flexible
horario flexible,votación
votación,contrato de trabajo
contrato de trabajo,organización del trabajo
organización del trabajo,víctima
víctima,trabajo a distancia
trabajo a distancia,reciclaje profesional
especialización profesional,trabajador con discapacidad
trabajador con discapacidad,responsabilidad del fabricante
ley,ley
cotización,tipo de cambio
consanguinidad,parentesco
publicidad,publicidad
empresario,empresario
salud pública,salud pública
jurisdicción social,jurisdicción social
religión,religión
estatuto de los trabajadores,Derecho del trabajo
convenio colectivo,convenio colectivo
salario mínimo interprofesional,salario mínimo
movilidad geográfica,movilidad geográfica
asalariado,asalariado
vivienda,vivienda
competencia,competencia
despido,despido
prestación de servicios,prestación de servicios
residencia,residencia
calendario laboral,día festivo
cónyuge,persona casada
directivo,cuadro administrativo
despido colectivo,despido colectivo
fallecimiento,muerte
usos y costumbres,Derecho consuetudinario
compensación,indemnización
salario mínimo,salario mínimo
indemnización por despido,indemnización por despido
jornada de trabajo,jornada de trabajo
salario,salario
legislación laboral,Derecho del trabajo
representación del personal,representación del personal
perjuicio,daño
legitimación,interés legítimo
concurrencia,acumulación de rentas
estado civil,estado civil
productividad,productividad
horario de trabajo,horario de trabajo
internamiento,sanción penal
trabajador,mano de obra
renta,renta
vigencia,aplicación de la ley
responsabilidad,responsabilidad
tutela,tutela
indemnización,indemnización
categoría profesional,categoría profesional
