Termino,Ventana_de_contexto
trabajo nocturno,(Véase nocturno ). ). ). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
maternidad,"a). Embarazo (Véase Maternidad ). circunstancias de la producción ). Exámenes: Permisos por, 23.1. a). Exámenes prenatales: Permiso para la realización de, 37.3. f). (Véase Maternidad ). 37.4. Lengua: No discriminación por sexo, 4.2. c) y 17.1. Licencias (Véase Permisos ). Liquidación: Del salario, 29. M Maternidad : Cau"
remuneración,"f) A la percepción puntual de la remuneción pactada o legalmente establecida. 3. El trabajador, previo aviso y justificación, puede aprovechar, por el trabajo que ya ha sido prestado, la remuneración consiguiente a un contrato válido. . profesional prestación de los servicios laborales por cuenta ajena, ya retribuyan el trabajo"
contrato,Error en la generación
demanda,"personal or in the way of organizing production, and causes productive"
personal,rregulars rregulars rregulars rregulars rregulars rregulars rregulars rregulars rregulars rregulars rregulars rregulars rregulars rregulars rregulars rregulars rregulars rregulars rregulars rregulars rregulars r
mesa electoral,"El objetivo de la mesa electoral es que, en todo caso, no puede comenzar antes de un mes ni más all a tres meses contabilizados a partir del registro de la comunicación en la oficina pblica dependiente de la autoridad laboral. Artculo 73. Mesa electoral . deban constituir la mesa, as como los representantes de los trabajadores, por en conocimiento de los promotores. La mesa electoral constitu"
riesgo,"81. Paralización de actividades por estado de riesgo , 19. legal de discapacitados, 37.6. Por guarda legal de menores, 37.6. Por imposible acceso a centro de trabajo cuando concurra riesgo por circunstancias derivadas de catástrofe o fenómeno meteorológico adverso, 37. domicilio, 13.5. Modificación de las condiciones de trabajo, 41. Negociación de convenios"
centro de trabajo,a). No hay esos recomendaciones a las recomendaciones del trabajo en comn. a). No hay esos recomendaciones a las recomendaciones del trabajo en comn. a). No hay esos recomendaciones a las recomendaciones del trabajo en comn. a). No hay esos recomendaciones a las recomendaciones
jornada,"Adaptation of the quota of pay, 33. Formación profesional, 23. Fuentes, 3. Horas extraordinarias, 35. Ingreso al trabajo, 16. Inviolabilidad de la persona del trabajador, 18. J. J. Cornada de trabajo, 34. 26a. Time parcial (Véase Contrato de trabajo a tiempo parcial ). Time b)."
horario flexible,"Eres un experto en lingüstica jurdica. Con el conjunto de contextos de uso para el term ""flexible wage"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
votación,"c). Voluntad del trabajador: Causa de extinción del contrato de trabajo, 49.1. j) y 50."
contrato de trabajo,a). (Véase Contrato de trabajo y Relación individual de trabajo ). 4.1. a). (Véase Contrato de trabajo y Relación individual de trabajo ). 4.1. a). (Véase Contrato de trabajo y Relación individual de trabajo ). 4.1. a). (Véase Contrato de trabajo y Relación individual de trabajo ). 4.1. a). (Véase Contrato de t
organización del trabajo,"3. Se considera trabajo a turnos toda forma de organización del trabajo en equipo a qué trabajadores ocupan a través de trabajo, a cierto ritmo, continuado o discontinuo, implicando para el trabajador la necesidad de prestar sus servicios en horas diferentes en un periodo determinado de dias o de semanas."
víctima,"Articles 5 and 33 de la Ley 29/2011, de 22 de septiembre, de Reconocimiento y Protección Integral a los Victims del Terrorism."
trabajo a distancia,Artculo 13. Trabajo a distancia . Artculo 13. Trabajo a distancia . Las personas trabajadoras podrán prestar trabajo a distancia en los términos previstos en la Ley 10/2021 de trabajo a distancia. Trabajo a distancia. Las personas trabajadoras podrán prestar trabajo a distancia en los términos previstos en
especialización profesional,El trabajador es un experto en lingüstica jurdica. El trabajador es un experto en lingüstica jurdica. El trabajador es un experto en lingüstica jurdica. El trabajador es un experto en lingüstica jurdica.
trabajador con discapacidad,"1. Companies that conduct contracts with employees with disabilities who work in special employment centers will have the right to a bonificación of cuotas with responsibility to the budgets of the State Public Employment Service, during the contract, of the ten percent of the empresa's yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly yearly"
ley,"1. The Government will dictate the provisions required for the development of this law. 23.1. a). Prohibición de determinados trabajos a menores de dieciocho years, 6.2. Forma del contrato de trabajo, 8. Contracts of employment: Temporary agreements, 15."
cotización,"Contextos: 4; 36.1 y 37.1. i) Las horas complementarias actualmente realizadas se retribuirán como ordinarias, computándose a efectos de bases de cotización a la Seguridad Social y periodos de carencia y bases reguladoras de prestaciones. retribución de las horas complementarias realizadas se debe recoger en el recepto individual de salarios y en los documentos de cotización a la Seguridad Social. trabajador"
consanguinidad,"c) Todos los interesados, los administradores de entidades o sociedades interesados, as como los asesores, representantes legales o mandatarios que intervenen en el arbitraje, as como compartir depois de esas o esas o esas o esas o esas o esas o esas o esas o esas o esas o"
publicidad,Contextos: funcionales o territoriales. Dichos acuerdos deberán comunicarse a la oficina pblica dependiente de la autoridad laboral para su depósito y publicidad .
empresario,Error en la generación
salud pública,"empresa que sean consecuencia de decisiones adoptadas por la autoridad competente, incluidas aquellas orientadas a la protección de la salud pblica ."
jurisdicción social,"1. Sin perjuicio de las competencias legalmente atribuidas a la jurisdicción social , la conocimiento y resolución de las cuestiones derivadas de la aplicación e interpretación de los convenios colectivos corresponderá a la comisión paritaria de los mismos. de los derechos de conciliación de la vida personal, familiar y laboral reconocidos legalmente a la jurisdicción social a través del procedimiento establecido en el"
religión,"g) Acoso por razón de origen racial o étnico, religión o convicciones, discapacidad, edad o orientación sexual y acoso por sexo al empresario o al persona que trabajan en la empresa."
estatuto de los trabajadores,"El trabajo de los trabajadores no será aplicable el artculo 42.6 del texto retributivo de la Ley del Estatuto de los Trabajadores . 90.4. Cónyuges: Preferencias en caso de traslado, 40.3. Corporaciones Locales: Excluión de su personal del ámbito de aplicación del Estatuto de los Trabajadores , 1. de trabajo, 45.1. i) y 47. Reserva de trab"
convenio colectivo,". Denuncia of collective convention , 85."
salario mínimo interprofesional,". Salario mnimo interprofesional : Fijación, 27."
movilidad geográfica,"El término es un experto en lingüstica jurdica. Debido a la conjunta de contextos de uso para el término ""movilidad geográfica"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
asalariado,"(e) Los ttulos de amistad, benevolencia o buena vecindad. e) Los ttulos familiares, a pesar de que se muestran la condición de asalariados que los llevan a cabo."
vivienda,"El contrato es exclusivo a la construcción o reparación que puede contratar una persona respecto su vivienda, as como cuando el propietario o propietario de la obra o industria no contrate su realización por el objetivo de una actividad empresaria."
competencia,"a) a) ejercer una labor: 1. de empresa capacidad, como órgano colegiado, para ejercer acciones administrativas o judiciales en todo lo relativo al ámbito de sus competencias , por decisión mayoritaria de sus miembros. miembros del comité de empresa será cuatro aos, comprendiendo que se mantendrán en funciones en ejercicio de sus competencias y sus"
despido,
prestación de servicios,"a ao, and a a a b a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a c a"
residencia,j) La de residencia para la formación de especialistas en Ciencias de la Salud.
calendario laboral,"El trabajador se encuentre en su puesto de trabajo. 6. El trabajador se encuentre en su puesto de trabajo . 6. Anualmente se elaborará por la empresa el calendario laboral, debândo exponer un ejemplar del mismo en un lugar visible de cada centro de trabajo."
cónyuge,"Contextos: asalariados de quienes llevan acabo. Se considerarán familiares, a estos efectos, siempre que convienen con el empresario, el cónyuge , los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adopción. tendrán ese derecho aquellos que tienen necesidades de cu"
directivo,d). Directivos (Véase Personal de alta dirección) .
despido colectivo,"i) Pero el despido colectivo fundado en causas económicas, técnicas, organizativas o de producción afectará a menos: a) Diez trabajadores, en las empresas que ocupen menos de cien trabajadores. en la demanda de los productos o servicios que la empresa pretende colocar en el mercado. Se entenderá igualmente como despido colectiv"
fallecimiento,"b). Enfermedad o fallecimiento (permiso por), 37. 29.1. Papeleta de conciliación (Véase Conciliación previa ). Pareja de hecho: Permiso por registro, 37.3. a). Parientes: Enfermedad o fallecimiento (permiso por), 37. 29.1. Papeleta de conciliación (Véase Conciliación previa ). Pareja de hecho: Permiso por registro, 37.3."
usos y costumbres,"d) Por los usos y costumbres locals y profesionales. más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables. 4. Los usos y costumbres solo se aplicarán en defecto de disposiciones legal, convencionales o contractuales, a no ser que cuenten con una recepción o remisión expresa. o instrucciones adoptadas por aquel en ejercicio regular de"
compensación,"a) El trabajo tiene un efectivo interés industrial o comercial en ello. b) El trabajo satisfaga al trabajador una compensación económica adecuada. industrial o comercial en ello. b) El trabajador satisfaga al trabajador una compensación económica adecuada. 3. En el supuesto de compensación económica por la plena dedicación, el trab"
salario mínimo,a) El ndice de precios de consumo. semestral para el caso de que no cumplanas previsiones sobre el ndice de precios citado. a) El ndice de precios de consumo. semestral para el caso de que no cumplanas previsiones sobre el ndice de precios citado. a) El ndice de precios de consumo. semestral para el caso de que no cumplanas previsiones sobre el ndice de pre
indemnización por despido,"1. El indemnización prevista en el artculo 56. el artculo 56.1 será aplicado a los contratos scritos a partir del 12 de febrero de 2012. 2. El indemnización de despido improprio de los contratos formados con anterioridad a 12 de febrero de 2012 se calculará a razón de cuarenta y cinco das de salario por un ao de servicios anteriores a dicha fecha, prorraando por meses los period"
jornada de trabajo,". . contextos de use para el término ""jogar de trabajo"", sintetiza una ventana de contexto de contexto de máquina 100 palabras que claramente expliquen el significado y uso del término ""jogar de trabajo"". b) solo se puede formalizar un contrato de horas complementarias en el caso de contratos a tiempo parcial con una jornada de trabajo no inferior a diez por"
salario,. No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No . No
legislación laboral,"El trabajo realizado por cuenta propia no estará sólo a la legislación laboral, excepto en aquellos aspectos que por precepto legal se disponen expresamente. o establecido en el artculo 149.1.7.a de la Constitución Espaola, que atribuye al Estado la competencia exclusiva en materia de legislación laboral sin perjuicio de su ejecución por los órganos de las comunidades autónomas"
representación del personal,e) Para realizar funciones sindicales o de representación del personal en los términos establecidos legalmente o convencionalmente.
perjuicio,"3. The function and decisions of the National Consultative Council of Contracting Parties shall be understood without perjuction of the legal and contractual attributions to the jurisdicción social, the co-operation and resoluteness of the questions derivadas of the application and interpretation of the collective conventions collectives."
legitimación,Es un experto en lingüstica jurdica.
concurrencia,"Contextos: Artculo 21. Pacto de no concurrencia y de permanencia en la empresa. 1. No podrá efectuarse la prestación laboral de un trabajador para diversos empresarios cuando se estime concurrencia desleal o cuando se pacte la plena dedicación mediante compensación económica expresa, en los términos que al efecto se convengan. informe preceptivo de la Inspección de Trabajo y Seguridad Social"
estado civil,"a) No discriminación directa o indirectamente para el empleo o, una vez empleados, por razones de estado civil , edad dentro los limites marcados por esta ley, origin, racial o étnica, estado civil , condición social, religión o convicciones, ideas polticas, orientación sexual, identidad sexual, expresión de género, caractersticas sexuales, afiliación o no a sindicatos,"
productividad,"e). Modificación, 41. Productividad nacional: Fijación del salario profesional, 27."
horario de trabajo,"Contextos: 24.1. Criterios, 24.2. Funciones superiores a las del grupo profesional, 39.2. Asistencia al trabajo (Véanse Faltas de asistencia al trabajo, Horario de trabajo , Permisos y Vacaciones anuales) . 46.3. Permiso por lactancia, 37.3. Permiso por nacimiento o muerto, 37.3. b). Hoja familiar (Véase Servicio del hoja familiar )."
internamiento,h) (Derogada) i) La de los menores a la ejecución de medidas internacionales para cumplir su responsabilidad penal.
trabajador,Error en la generación
renta,"b) La productividad nacional alcanzada. c) El incremento de la participación del trabajo en la renta nacional. nulo, 9.2. En trabajo nocturno, 36.2. Gracias extraordinarias, 31. Igualdad por sexo, 28. Modificación, 41. (Véase Salario ). Renta nacional: Fijación del minimum interprofesional salario, 27."
vigencia,"o forzosa. La forzosa, que dará derecho a la conservación del puesto y al cómputo de la antigüedad de su vigencia, será concedido por la designación o electción para un cargo public que imposibilite la asistencia al trabajo. del conflicto colectivo paralizará la tramitación de las acciones individuales iniciadas, hasta su resolución. 4. En cualquier momento durante la vigencia de la medida"
responsabilidad,"i) La de los menores sometidos a la ejecución de medidas internacionales para la cumplimiento de su responsabilidad penal. una vez cumplido una ao desde su celebración, cuando concurra algunas de las siguientes circunstancias: 1.a La atención de las responsabilidades familiares en el artculo 37. personas trans y para la garanta de los derechos de las personas LGTBI dará lugar la asunción de responsabilidad"
tutela,"El periodo de suspensión tendrá una duración inicial que no podrá olvidar seis meses, a pesar de que las actuaciones de tutla judicial resultase que la efectividad del derecho de protección de la vctima requiriese la continuidad de suspensión. personas trabajadores vctimas de violencia de género o de violencia sexual, por ejercicio de su derecho a la judicial efectiva"
indemnización,"Modificación de las condiciones de trabajo: concepto, 41.1. De carácter colectivo, 41.2. Enumeración, 41.1. Indemnización, 41."
categoría profesional,"f). Forbidden Excedencia, 46.1. Permisos, 37.3. d). Reserva de trabajo, 48.1 y 3. Professional category: (Véase Grupo profesional ). trabajo para la formación y el aprendizaje ). Collective concessions: Adhesión, 92.1. mbito de aplicación, 82.3 y 83.1. Aplicación, 91. Professional category , 22."
