Termino,Ventana_de_contexto
trabajo nocturno,"Una ventana de contexto clara y precisa para el término ""trabajo nocturno"" se puede definir como: ""Realización de tareas entre las diez de la noche y las seis de la mañana, con retribución específica y evaluación de riesgos laborales regulares, en la empresa o en el mar, como por ejemplo en buques."""
maternidad,"La ventana de contexto clara y precisa para el término ""maternidad"" en el texto refundido de la Ley de Empleo es: ""Situaciones de incapacidad temporal, riesgo durante el embarazo, maternidad, adopción, guarda con fines de adopción, acogimiento, riesgo durante la lactancia y paternidad no interrumpirán el cómputo de la duración del contrato."""
remuneración,"""La percepción de la remuneración por el trabajo efectivo, incluyendo la retribución por la ausencia justificada de la trabajadora, se regula por el contrato de trabajo, que establece un sistema de remuneración basado en la jornada laboral, el régimen de trabajo a turnos, y los componentes salarios y cuántías salarios, sin discriminación por razón de sexo."""
contrato,"La respuesta es que el contrato de trabajo se puede celebrar a través de un escritó, especialmente si el trabajador no tiene una formación universitaria o profesional en la misma área. Esto es una opción para los empresarios que no necesitan de un contrato escrito para el trabajo en el interior de la empresa.
</think>

**Ventana de Contexto Claro y Precisa para el Término ""Contrato"" en Español**

**Ventana de Contexto Claro y Precisa para el Término ""Contrato"" en Español:**

El contrato de trabajo puede celebrarse mediante escrito, especialmente cuando el trabajador no tiene una formación universitaria o profesional en la misma área. Esta opción es útil para empresarios que no necesitan de un contrato escrito para el trabajo en el interior de la empresa, ya que pueden especificar los detalles de manera oral o por acuerdo con el trabajador. 

**Ventana de Context"
demanda,"(100 words) Un modelo de una posible ventana de contexto clara y precisa para el término ""demanda"" en español, dentro de un contexto de una empresa que se enfrenta a una demanda de trabajo por paralizar, es: ""El empresario puede impugnarse de la demanda de los trabajadores por la paralización, que ha sido interpuesta dentro del plazo de dos meses, y el desalozo de la improcedencia del despido se puede pedir al Estado, si el plazo de sesenta días hábiles (contra el noventa días) se supera."""
personal,"La ventana de contexto clara y precisa para el término ""personal"" en español, de máximo 100 palabras, se resume en: ""Relaciones laborales de carácter especial, incluyendo protección por el derecho al honor, contratos fijos-discontinuos, evaluaciones de capacidad, y cumplimiento de deberes públicos; delegados de personal y comités de empresa, con roles de representación y decisión, y consideración de discriminación y conciliación de la vida laboral, familiar y personal""."
mesa electoral,"""La mesa electoral se constituirá en la fecha fijada por los promotores, después de un mes y antes de tres meses después del registro de la comunicación en la oficina pública dependiente de la autoridad laboral, para asegurar un período de preparación y promoción adecuado."""
riesgo,"La ventana de contexto clara y precisa para el término ""riesgo"" se centra en la **adopción de medidas preventivas y de seguridad laboral por parte de la empresa**, que incluye la **observación de medidas de prevención de riesgos laborales** y la **cobertura del Fondo de Garantía Salarial**. Además, se enfoca en la **corresponsabilidad de la vida familiar y laboral**, así como la **protección de la integridad física del trabajador** y la **adopción de protocolos de actuación para emergencias como catástrofenos y fenómenos meteorológicos adversos**."
centro de trabajo,"Ventana de contexto clara y precisa en español: ""Un centro de trabajo con un buque de formación alta, ubicado en una provincia cercana, donde se deben reunir un comité de empresa y representantes legales de los trabajadores para discutir sobre la negociación del calendario laboral y los requisitos para la apertura del procedimiento de prevención y protección laboral, siempre que se cumplan con los plazos establecidos y no se impiden el acceso a este centro de trabajo."""
jornada,"**Ventana de contexto:**

* **Términos y condiciones de trabajo:** Contrato de trabajo a tiempo parcial con una jornada diaria inferior a la jornada máxima legal.
* **Duración:** El contrato se celebrará a jornada diaria, pero la empresa puede ofrecer horas complementarias de aceptación voluntarias, cuyo número no podrá superar el veinticinco por ciento de la jornada ordinaria, ampliables al treinta por ciento por convenio colectivo.
* **Horarios y contratos:** Si no se observa la exigencia de forma escrita, el contrato se presume celebrado a jornada completa, salvo prueba en contrario que acredite el carácter parcial de los servicios. Si el contrato a tiempo parcial conlleva la ejecución de una jornada diaria inferior a la de los trabajadores a tiempo completo y se realiza de forma"
horario flexible,"El término ""horario flexible"" se refiere a un sistema de reordenación del tiempo de trabajo caracterizado por la adaptación del horario o la flexibilidad en la aplicación de horarios, a través de la reordenación del tiempo de trabajo, con el fin de ajustar el salario o mejorar la eficacia de la empresa."
votación,"La ventana de contexto clara y precisa para el término ""votación"" en el contexto de delegados de personal, es: ""La mesa electoral proclama candidatos, con un plazo de cinco días antes de la votación, y la votación se lleva a cabo durante la jornada laboral, con el apoyo del empresario para el desarrollo normal del proceso electoral."" (50 palabras)"
contrato de trabajo,"**Ventana de contexto de uso clara y precisa para ""contrato de trabajo"" (max 100 palabras)**

El contrato de trabajo se celebra en el contexto de **legales y reglamentaciones del Estado**, específicamente por **convenios colectivos** y **voluntad de las partes**, asegurando condiciones favorables al trabajador, como percepción de una remuneración pactada o legalmente establecida, y su ejercicio individual de acciones derivadas de su contrato."
organización del trabajo,"Un contexto de uso claro y preciso para el término ""organización del trabajo"" podría ser: ""El trabajo a turnos con rotación de puestos y limitaciones de noche en empresas con procesos productivos continuos, con comunicación abierta sobre decisiones de cambio."""
víctima,"La ventana de contexto clara y precisa para el término ""víctima"" en este contexto laboral es: ""Las trabajadoras víctimas de violencia de género, violencia sexual o terrorismo tienen derechos especiales para solicitar protección, solicitud de tutela judicial y excedencia de trabajo en caso de ser obligadas a abandonar su puesto de trabajo."""
trabajo a distancia,"El término ""trabajo a distancia"" se refiere a la prestación de trabajo a través de canales de comunicación tecnológicos, como ordenadores, telégrafos o correo electrónico, en la forma de servicios remotas o de forma electrónica. En este contexto, se mencionan permisos necesarios para exámenes y preferencia de turno de trabajo y acceso al trabajo a distancia, cuando se correspongan con el régimen laboral de la empresa y el trabajo sea compatible con la forma de realización a distancia. 

(No cumple el límite de 100 palabras. Sigue con una versión más condensa.) 

Respuesta condensa: ""El término 'trabajo a distancia' implica la prestación de trabajo a través de canales de comunicación electrónica, con permisos específicos y preferencias de turnos, cuando el régimen laboral lo permita."""
especialización profesional,"""Cuando un trabajador recibe una especialización profesional con cargo a un empresario para el desarrollo de proyectos específicos o el cumplimiento de tareas únicas, ambos pueden acordarse sobre la continuidad de su empleo en la empresa durante un período determinado."""
trabajador con discapacidad,"""Trabajadores con discapacidad que presten servicios en los centros especiales de empleo pueden recibir una bonificación de cuotas de Seguridad Social basada en contingencias comunes, durante su vigencia. Esta bonificación tiene un cargo a los presupuestos del Servicio Público de Empleo Estatal, se aplica a contratos formativos y es ejecutada durante el plazo de doce meses. Además, pueden solicitar un puesto de trabajo de la misma especialidad en otro centro de trabajo de la empresa si su capacidad de trabajo es limitada, sin alterar su dignidad.""

(Si es necesario, hacerlo más claro)

**Verificación:**
- La ventana de contexto menciona que trabajadores con discapacidad en centros especiales de empleo pueden recibir una bonificación, pero no menciona la duración (doce meses) y el cargo a los presupuestos del Servicio Público de Em"
ley,"**Ventana de contexto clara y precisa en español:** 

""Un trabajador de 45 años, con experiencia en la gestión de proyectos, puede prestar servicios a empresas de tecnología de software en la región del Este de Europa. El contrato se establece en español, con un salario de €60.000 anual, y el trabajo se puede realizar a distancia de manera que no afecte su disponibilidad para asistir a reuniones semanales en la oficina central."" 

**Nota:** He utilizado el artículo ""un"" para iniciar, pero si el contexto inicialmente proporcionado incluye un inicio con ""Eres un experto..."", debería comenzar con ""Un trabajador..."" para mantener el tono y la estructura del texto inicialmente dado."
cotización,"La ventana de contexto clara y precisa para ""cotización"" se refiere a la regulación de los salarios base de cotización, que se establecen por el gobierno para atender contingencias como accidentes de trabajo, enfermedad profesional y desempleo, y se destina el ingreso de las horas complementarias de un trabajador para el pago de sus prestaciones a la seguridad social."
consanguinidad,"""La ventana de contexto clara y precisa de 'consanguinidad' se centra en la consideración de parentesco dentro del cuarto grado de consanguinidad o de afinidad dentro del segundo, entre los interesados, administradores de entidades o sociedades interesadas, asesores, representantes legales o mandatarios, y entre los profesionales que se asocian para el asesoramiento en el ámbito del arbitraje, siempre que el parentesco o la afinidad se cumpla."""
publicidad,"(sin usar de ningún lenguaje de los símbolos del lenguaje natural, y solo en español, dentro de 100 palabras)

La publicidad de un acuerdo laboral debe ser notificada a la Oficina Pública de la Autoridad Laboral para su registro y notación."
empresario,"La ventana de contexto clara y precisa para el término ""empresario"" se podría resumir en que el empresario tiene una responsabilidad de asistencia laboral, con un contrato de trabajo que incluye condiciones de trabajo específicas, como la realización de tareas por cuenta ajena y sin asumir riesgo y ventura, la observación de medidas de prevención de riesgos laborales, y el cumplimiento de órdenes y instrucciones directivas. Además, el empresario debe comunicar a la oficina pública de empleo el contenido de los contratos de trabajo que se formalizarán o que prolongen, dentro de plazos y términos reglementarios específicos. Además, el empresario tiene que garantizar que el trabajador perciba una formación teórica y práctica adecuada, y se adaptará a cambios en las funciones o tecnologías. La ventana de contexto debe incl"
salud pública,"El término ""salud pública"" se refiere a los servicios, programas y decisiones de la autoridad pública que están destinados a proteger y promover la salud de la población, como empresas que resultan de la implementación de políticas de salud pública."
jurisdicción social,"""La jurisdicción social resolverá, a través del artículo 139 de la Ley 36/2011, las disputas sobre las condiciones especiales de un contrato laboral, incluyendo la planificación de vacaciones a través de convenidos colectivos."""
religión,"La ventana de contexto clara y precisa de uso del término ""religión"" se sitúa en la consideración del trato digno de las personas, con protección contra el acoso por razón de origen racial o étnico, religión o convicciones, discapacidad, edad, orientación sexual, y acoso sexual o por razón de sexo. (100 palabras)"
estatuto de los trabajadores,"El término ""estatuto de los trabajadores"" se aplica al conjunto de reglaciones laborales que afectan trabajos realizados por sujetos no remunerados en el ámbito de aplicación del Estatuto de los Trabajores, como los trabajos realizados a título de amistad, benevolencia o de buena vecindad, y aquellos realizados por corporaciones locales o su personal funcionarios, y los trabajos de superior categoría y familiares de los funcionarios públicos, sin afectar las reglas laborales aplicables a los trabajos remunerados."
convenio colectivo,"Una ventana de contexto clara y precisa en español, de máximo 100 palabras, para ""convenio colectivo"" podría ser: ""Negociación colectiva para establecer condiciones laborales (salarios, horarios, permisos) de acuerdo entre la empresa y el sindicato de trabajadores, respetando leyes laborales y convenios sectoriales aplicables."""
salario mínimo interprofesional,"La ventana de contexto clara y precisa para el término ""salario mínimo interprofesional"" se puede resumir como: ""El salario mínimo interprofesional se fija anualmente por el gobierno, con consulta a organizaciones sindicales y empresariales, teniendo en cuenta el índice de precios de consumo semestral, y es inembargable tanto anualmente como mensualmente, con límites de inembargabilidad basados en el doble del importe del salario mínimo interprofesional, incluyendo la parte proporcional de las gratificaciones extraordinarias. A pesar de que el trabajador pueda percibir una retribución inferior a esta cantidad en proporción al tiempo de trabajo efectivo, no puede recibir menor que el salario mínimo interprofesional en proporción al tiempo de trabajo efectivo."" (50 palabras)"
movilidad geográfica,"Un trabajador puede necesitar de un trasferencia de su domicilio dentro del ámbito de aplicación del Estado, de manera que su jornada laboral anual máxima no exceda lo establecido y su movilidad geográfica se realice dentro de las normas mínimas de prevención de riesgos laborales."
asalariado,"""Interés común entre los asalariados en el contexto de amistad, bienal, o vecindad, a realizar trabajos familiares, siempre que no estén asalariados los que los llevan a cabo."""
vivienda,"La ventana de contexto clara para el término ""vivienda"" en este caso se refiere a ""contextos en que un propietario contrata a una persona o empresa para la construcción, reparación o mantenimiento de su vivienda o propiedad inmueble""."
competencia,"La ventana de contexto clara y precisa para el término ""competencia"" podría ser: ""El Pacto de no competencia, de duración 21 de, implica para los técnicos y, para los demás trabajadores, una prohibición de la participación en la competencia por el empresario, con un plazo de efectividad limitada, y solo válido si el empresario tiene un efectivo interés industrial o comercial, y está representado por el comité de empresa y el delegado de personal, respectivamente."""
