Termino,Ventana_de_contexto
trabajo nocturno,"La ventana de contexto clara y precisa para el término ""trabajo nocturno"" se puede resumir en: ""Realización de trabajo entre las diez de la noche y las seis de la mañana, con retribuciones específicas, evaluación de riesgos laborales y protección de trabajadores nocturnos en casos de salud ligada al trabajo nocturno."""
maternidad,"La ventana de contexto clara y precisa para el término ""maternidad"" en el texto refundido de la Ley de Empleo se refiere a la excepción de la duración del contrato en casos de embarazo, maternidad, adopción, guarda con fines de adopción, acogimiento, riesgo durante la lactancia y paternidad. Se debe excluir cualquier información no relacionada con la maternidad."
remuneración,"""La remuneración por trabajo efectivo, incluso en casos de contrato nulo, se percibe por el tiempo prestado, sin afectar el total de la remuneración."""
contrato,Error en la generación
demanda,"El término ""demanda"" se refiere a un plazo de tiempo que se establece para el órgano jurisdiccional del orden social competente, dentro del cual el empresario puede interponer una acción judicial para impugnar la decisión empresarial de despidar a un trabajador. Además, este plazo tiene un componente adicional que consiste en la posible recuperación de la percepción económica abonada por el Estado si el despido se prolonga más de noventa días hábiles después de la fecha de la notificación de la demanda.

(Espero que esta respuesta cumpla con los requisillos de claridad y precisión solicitados, y que también sea de maximumo 100 palabras. Si no, me permitiría modificar la respuesta)."
personal,"Una ventana de contexto clara y precisa para el término ""personal"" podría ser: ""El término 'personal' se utiliza en el contexto de servicios públicos, como los funcionarios, donde se regula por normas legales y reglamentarias, y en el sector público, cuando, por ejemplo, se refiere a la contratación de personal para realizar funciones sindicales o de representación en los términos establecidos legalmente o convencionalmente."" 

La respuesta se centra en un contexto donde ""personal"" se utiliza para referirse a empleados del sector público, ya que se mencionan normas legales, reglamentarias y el sector público como el ámbito de aplicación. Esto se alinea con la Ley 36/2011 de 10 de octubre, que regula la jurisdicción social y el trabajo en el sector público, y con el artículo 2 del párrafo"
mesa electoral,"La mesa electoral se constituye en un plazo no menor de un mes ni más allá de tres meses después del registro de la comunicación, con representantes de trabajadores, promotores y sindicatos. La mesa electoral se encarga de recoger el censo laboral, proponer la lista de electores, llevar a cabo el recuento de votaciones y la impugnación de actos."
riesgo,"La ventana de contexto clara y precisa para el término ""riesgo"" en español, de máximo 100 palabras, se puede resumir en: ""La responsabilidad de la vida familiar y laboral, medidas de prevención de riesgos laborales (como la paralización inmediata de actividades en caso de riesgo grave), y la cobertura del Fondo de Garantía Salarial para situaciones de incapacidad temporal, maternidad, adopción, y lactancia natural."""
centro de trabajo,"La ventana de contexto clara y precisa para el término ""centro de trabajo"" se puede resumir en: ""Un centro de trabajo es una unidad productiva con organización específica, reconocida por la autoridad laboral, donde trabajadores de la misma empresa pueden reunirse para discutir y negociar condiciones de trabajo, incluyendo la forma de contrataciones, la estabilidad laboral y la protección de sus derechos individuales."""
jornada,"La ventana de contexto clara y precisa para el término ""jornada"" en español, de máximo 100 palabras, se puede resumir a: ""Jornada de trabajo con flexibilidad horaria, incluyendo posibles períodos de descanso, adaptaciones de jornada para asistencia a cursos de formación profesional, y consideradas las regulaciones laborales como la Ley 36/2011 y el Convenio Colectivo aplicable en la empresa."""
horario flexible,"El término ""horario flexible"" se refiere a un modelo de reordenación del tiempo de trabajo caracterizado por la adaptación del horario de trabajo a las necesidades individuales o de la empresa, que puede incluir la reordenación del tiempo de trabajo, la extensión del horario, la eliminación de turnos no productivos, o la disponibilidad de trabajo remoto, con el objetivo de mejorar la eficiencia y la satisfacción del trabajador."
votación,"""La vacante se refiere a un trabajador que haya participado en la votación, resultando en un número de votos inmediatamente inferior al último de los elegidos. La mesa electoral le nombrará como delegado de personal."" (50 palabras) 

(Nota: He mantenido la estructura del texto original, solo he reemplazado los párrafo iniciales y el fin del párrafo inicial para hacerlo más claro y conciso.)"
