Termino,Ventana_de_contexto
trabajo nocturno,"Eres un experto en lingüística jurídica.
Dado el conjunto de contextos de uso para el término ""trabajo nocturno"",
sintetiza una ventana de contexto de máximo 100 palabras que explique claramente el significado y uso del término,
con el objetivo de facilitar su enlazado con otros conceptos.

Contextos:
Artículo 36. Trabajo nocturno , trabajo a turnos y ritmo de trabajo. nocturno, trabajo a turnos y ritmo de trabajo. 1. A los efectos de lo dispuesto en esta ley, se considera trabajo nocturno  el realizado entre las diez de la noche y las seis de la mañana. las diez de la noche y las seis de la mañana. El empresario que recurra regularmente a la realización de trabajo nocturno  deberá informar de ello a la autoridad laboral. Igualmente, el Gobierno podrá establecer limitaciones y garantías adicionales a las previstas en el presente artículo para la realización de trabajo nocturno  en ciertas actividades o por determinada categoría de trabajadores, en función de los riesgos que comporten para su salud y seguridad. o por determinada categoría de trabajadores, en función de los riesgos que comporten para su salud y seguridad. 2. El trabajo nocturno  tendrá una retribución específica que se determinará en la negociación colectiva, salvo que el salario se haya establecido atendiendo a que el trabajo sea nocturno por su propia naturaleza o se haya acordado la compensación de este trabajo por descansos. trabajadores nocturnos que ocupe dispongan de una evaluación gratuita de su estado de salud, antes de su afectación a un trabajo nocturno  y, posteriormente, a intervalos regulares, en los términos establecidos en la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, y en sus normas de desarrollo. sus normas de desarrollo. Los trabajadores nocturnos a los que se reconozcan problemas de salud ligados al hecho de su trabajo nocturno  tendrán derecho a ser destinados a un puesto de trabajo diurno que exista en la empresa y para el que sean profesionalmente aptos. e higiene, 19. Sucesión de empresa, 44. Suspensión del contrato de trabajo, 45 a 48. Trabajo de los menores, 6. Trabajo nocturno , trabajo a turnos y ritmo de trabajo, 36. prácticas, 11.2. e). En contrato de trabajo para la formación y el aprendizaje, 11.2. h). En contrato nulo, 9.2. En trabajo nocturno , 36. Vacaciones anuales ). Titularidad: Cambio en la empresa, 44. Toxicomanía: Causa de despido, 54.2. f). Trabajador nocturno: Concepto, 36.1. (Véase Trabajo nocturno  ). ). Trabajo en el mar: Buques (centro de trabajo), 1.5. Trabajo en prácticas (Véase Contrato de trabajo en prácticas ). Trabajo nocturno : Concepto, 36.

Respuesta:
Trabajo nocturno: concepto de la ley de prevención de riesgos laborales. 

Trabajo nocturno: concepto de la ley de prevención de riesgos laborales. 

Trabajo nocturno: concepto de la ley de prevención de riesgos laborales. 

Trabajo nocturno: concepto de la ley de prevención de riesgos laborales. 

Trabajo nocturno: concepto de la ley de prevención de riesgos laborales. 

Trabajo nocturno: concepto de la ley de prevención de riesgos laborales. 

Trabajo nocturno: concepto de la ley de prevención de riesgos laborales. 

Trabajo nocturno: concepto de la ley de prevención de riesgos laborales. 

Trabajo nocturno: concepto de la ley de prevención de riesgos laborales. 

Trabajo nocturno: concepto de la ley"
maternidad,"Eres un experto en lingüística jurídica.
Dado el conjunto de contextos de uso para el término ""maternidad"",
sintetiza una ventana de contexto de máximo 100 palabras que explique claramente el significado y uso del término,
con el objetivo de facilitar su enlazado con otros conceptos.

Contextos:
fecha de inicio del embarazo hasta el comienzo del período de suspensión a que se refiere el artículo 48.4, o maternidad , salvo que concurran motivos no relacionados con el embarazo o maternidad. suspensión a que se refiere el artículo 48.4, o maternidad, salvo que concurran motivos no relacionados con el embarazo o maternidad . texto refundido de la Ley de Empleo. Asimismo, en estos contratos las situaciones de incapacidad temporal, riesgo durante el embarazo, maternidad , adopción, guarda con fines de adopción, acogimiento, riesgo durante la lactancia y paternidad no interrumpirán el cómputo de la duración del contrato. y 5. Acto de, 75.1. Recuento, 75.3. Regulación, 75. Elección de profesión u oficio: Derecho a, 4.1. a). Embarazo (Véase Maternidad  ). circunstancias de la producción ). Exámenes: Permisos por, 23.1. a). Exámenes prenatales: Permiso para la realización de, 37.3. f). (Véase Maternidad ). 37.4. Lengua: No discriminación por razón de, 4.2. c) y 17.1. Licencias (Véase Permisos ). Liquidación: Del salario, 29. M Maternidad : Causa de suspensión del contrato de trabajo, 45. 17.5, 85. No discriminación por razón de sexo, 4.2. c), 17.1 y 28. Permiso por lactancia de hijos, 37.4. (Véase Maternidad  ). Nulidad del despido, 55.5. Reserva del puesto de trabajo, 48.5. Suspensión del contrato de trabajo, 45.1. d), 48.7. Parto (Véase Maternidad  ). Pago de salarios, 29.4. Taquillas: Registro, 18. Técnicas de preparación al parto: Permiso para la realización de, 37.3. f). (Véase Maternidad  ).

Respuesta:
Maternidad (Véase Maternidad  ).

Contextos:
fecha de inicio del embarazo hasta el comienzo del período de suspensión a que se refiere el artículo 48.4, o maternidad, salvo que concurran motivos no relacionados con el embarazo o maternidad. suspensión a que se refiere el artículo 48.4, o maternidad, salvo que concurran motivos no relacionados con el embarazo o maternidad. texto refundido de la Ley de Empleo. Asimismo, en estos contratos las situaciones de incapacidad temporal, riesgo durante el embarazo, maternidad, adopción, guarda con fines de adopción, acogimiento, riesgo durante la lactancia y paternidad no interrumpirán el cómputo de la duración del contrato. y 5. Acto de,"
remuneración,"Eres un experto en lingüística jurídica.
Dado el conjunto de contextos de uso para el término ""remuneración"",
sintetiza una ventana de contexto de máximo 100 palabras que explique claramente el significado y uso del término,
con el objetivo de facilitar su enlazado con otros conceptos.

Contextos:
sexual, y frente al acoso sexual y al acoso por razón de sexo. f) A la percepción puntual de la remuneración  pactada o legalmente establecida. En caso de que el contrato resultase nulo, el trabajador podrá exigir, por el trabajo que ya hubiese prestado, la remuneración  consiguiente a un contrato válido. prestación profesional de los servicios laborales por cuenta ajena, ya retribuyan el trabajo efectivo, cualquiera que sea la forma de remuneración , o los periodos de descanso computables como de trabajo. Artículo 28. Igualdad de remuneración  por razón de sexo. recuperable, al máximo de catorce. 3. La persona trabajadora, previo aviso y justificación, podrá ausentarse del trabajo, con derecho a remuneración , por alguno de los motivos y por el tiempo siguiente: a) Quince días naturales en caso de matrimonio o registro de pareja de hecho. Jornada de trabajo. b) Horario y distribución del tiempo de trabajo. c) Régimen de trabajo a turnos. d) Sistema de remuneración  y cuantía salarial. varios de sus componentes, sin rebasar el máximo total, pudiendo quedar relevado o relevados del trabajo, sin perjuicio de su remuneración . Jornada de trabajo. b) Horario y distribución del tiempo de trabajo. c) Régimen de trabajo a turnos. d) Sistema de remuneración  y cuantía salarial. colectiva, 4.1. c). No discriminación, 4.2. c). Ocupación efectiva, 4.2. a). Participación en la empresa, 4.1. g). Percepción de la remuneración  4. 2.1. g). (Véanse Centros especiales de empleo) . Discriminación: Derecho del trabajador a no ser discriminado, 4.2. c). Igualdad de remuneración  por razón de sexo, 28. Empleo Estatal: Acceso a los datos de los expedientes de regulación temporal de empleo, D. A. 26ª. Sexo: Igualdad de remuneración  por razón de, 28. y 3. Prohibición de sanciones que las disminuyan, 58.3. Validez del contrato de trabajo: Nulidad de parte del mismo, 9.1. Remuneración  en contrato nulo, 9.

Respuesta:
Remuneración  por razón de sexo. Igualdad de remuneración  por razón de sexo. recuperable, al máximo de catorce. 3. La persona trabajadora, previo aviso y justificación, podrá ausentarse del trabajo, con derecho a remuneración, por alguno de los motivos y por el tiempo siguiente: a) Quince días naturales en caso de matrimonio o registro de pareja de hecho. b) Horario y distribución del tiempo de trabajo. c) Régimen de trabajo a turnos. d) Sistema de remuneración  y cuantía salarial. varios de sus componentes, sin rebasar el máximo total, pudiendo quedar relevado o relevados del trabajo, sin perjuicio de su remuneración. Jornada de trabajo. b) Horario y distribución del tiempo de trabajo. c) Régimen de trabajo a turnos."
